Brand_name,Generic_name,que,side_effects
"Allegra, Allegra ODT"," fexofenadine (FEX oh FEN a deen), ","[['What is Allegra?'], ['Allegra (fexofenadine) is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.']]","[[], [], [], []]"
"Gocovri, Osmolex ER, Symmetrel"," amantadine (a MAN ta deen), ","[['What is amantadine?'], ['Amantadine is an antiviral medicine that blocks the actions of viruses in your body.']]","[[', falls;'], ['dry mouth;'], ['swelling in your legs or feet;'], [', ', '; or']]"
"Aleve, EC-Naprosyn, Flanax Pain Reliever, Midol Extended Relief, Naprelan 375, Naprosyn"," , (na PROX en), ","[['What is Aleve?'], ['Aleve (naproxen) is a ', ' (NSAID). Naproxen works by reducing hormones that cause inflammation and pain in the body.']]","[['cholestyramine;'], ['cyclosporine;'], ['digoxin;'], ['lithium;']]"
"Ambien, Ambien CR, Edluar, Intermezzo, Zolpimist"," zolpidem (zole PI dem), ","[['What is Ambien?'], ['Ambien (', ') is a sedative, also called a hypnotic. Zolpidem affects chemicals in the brain that may be unbalanced in people with sleep problems insomnia).']]","[[], [], [], []]"
Pacerone," amiodarone tablets (oral) (A mi OH da rone), ","[['What is amiodarone?'], [' affects the ', '. It is used to help keep the heart beating normally in people with life-threatening heart rhythm disorders of the ventricles (the lower chambers of the heart that allow blood to flow out of the heart).']]","[['nausea, vomiting, loss of appetite; or'], ['.'], [], []]"
"Katerzia, Norvasc"," amlodipine (am LOE di peen), ","[['What is amlodipine?'], ['Amlodipine is a calcium channel blocker that dilates (widens) blood vessels and improves blood flow.']]","[['nitroglycerin;'], ['simvastatin (Zocor, Simcor, Vytorin); or'], ['any other heart or blood pressure medications.'], []]"
"Vanatrip, Elavil, Endep"," amitriptyline (a mee TRIP ti leen), ","[['What is amitriptyline?'], ['Amitriptyline is a tricyclic ', '. Amitriptyline affects chemicals in the brain that may be unbalanced in people with depression.']]","[['constipation, diarrhea;'], ['nausea, vomiting, upset stomach;'], ['mouth pain, unusual taste, black tongue;'], ['appetite or weight changes;']]"
"Zyloprim, Lopurin, Aloprim"," allopurinol (AL oh PURE i nol), ","[['What is allopurinol?'], [' reduces the production of uric acid in your body. Uric acid buildup can lead to gout or kidney stones.']]","[[' or ', ';'], [';'], [';'], ['an ', ' such as ', ' or ', ';']]"
"Amoxil, Trimox, Moxatag"," amoxicillin (am OX i sil in), ","[['What is amoxicillin?'], [' is a penicillin antibiotic that fights bacteria.']]","[['any other antibiotics;'], [';'], ['; or'], [' - ', ', ', ', ', '.']]"
Atarax," , (hye DROX ee zeen), ","[['What is Atarax?'], ['Atarax (hydroxyzine) reduces activity in the central nervous system. It also acts as an antihistamine that reduces the natural chemical histamine in the body. Histamine can produce symptoms of sneezing and runny nose, or hives on the skin.']]","[[], [], [], []]"
Arimidex," anastrozole (an AS troe zole), ","[['What is anastrozole?'], ['Anastrozole lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body.']]","[[], [], [], []]"
," ampicillin (oral) (am pi SIL in), ","[['What is ampicillin?'], ['Ampicillin is a penicillin ', ' that is used to treat or prevent many different types of infections such as bladder infections, ', ', ', ', ', ', or infections of the stomach or intestines.']]","[[], [], [], []]"
"Augmentin, Augmentin ES-600, Augmentin XR"," amoxicillin and clavulanate potassium (am OK i SIL in KLAV ue LAN ate poe TAS ee um), ","[['What is amoxicillin and clavulanate potassium?'], [' is a combination prescription antibiotic. Amoxicillin is a ', ' that fights bacteria in the body. Clavulanate potassium is a beta-lactamase inhibitor that helps prevent certain bacteria from becoming resistant to amoxicillin.']]","[['nausea, vomiting; diarrhea;'], ['rash, itching;'], ['vaginal itching or discharge; or'], ['.']]"
"Aricept, Aricept ODT"," , (oral) (doe NEP e zil), ","[['What is Aricept?'], ['Aricept (donepezil) improves the function of nerve cells in the brain. It works by preventing the breakdown of a chemical called acetylcholine (ah SEET il KOE leen). People with dementia usually have lower levels of this chemical, which is important for the processes of memory, thinking, and reasoning.']]","[['nausea, vomiting, diarrhea;'], ['loss of appetite;'], ['muscle pain;'], ['sleep problems (insomnia); or']]"
"Eliquis, Eliquis Starter Pack for Treatment of DVT and PE"," apixaban (a PIX a ban), ","[['What is apixaban?'], ['Apixaban is used to lower the risk of stroke caused by a blood clot in people with a heart rhythm disorder called ', '.']]","[['any other medicines to treat or prevent blood clots;'], ['a blood thinner such as ', ' or ', ' (', ', ', ');'], ['an antidepressant; or'], ['an NSAID (nonsteroidal anti-inflammatory drug) used long term.']]"
"Abilify, Abilify Discmelt"," aripiprazole (AR i PIP ra zole), ","[['What is aripiprazole?'], ['Aripiprazole is an antipsychotic medicine that is used to treat the symptoms of psychotic conditions such as ', ' and ', ' (manic ', '). It is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with ', '.']]","[[], [], [], []]"
Augmentin," , (am OK i SIL in KLAV ue LAN ate poe TAS ee um), ","[['What is Augmentin?'], ['Augmentin contains a combination of ', '. Amoxicillin is a ', ' that fights bacteria in the body. Clavulanate potassium is a beta-lactamase inhibitor that helps prevent certain bacteria from becoming resistant to amoxicillin.']]","[['nausea, vomiting; diarrhea;'], ['rash, itching;'], ['vaginal itching or discharge; or'], ['.']]"
Lipitor," atorvastatin (a TOR va sta tin), ","[['What is atorvastatin?'], ['Atorvastatin belongs to a group of drugs called HMG CoA reductase inhibitors, or ""statins.""']]","[['pain or burning when you urinate;'], [' - upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes); or'], [' - little or no urinating, swelling in your feet or ankles, feeling tired or short of breath.'], []]"
"Arthritis Pain, Aspi-Cor, Aspir 81, Aspir-Low, Bayer Plus, Bufferin, Durlaza, Ecotrin, Ecpirin, Fasprin, Halfprin, Miniprin."," aspirin (oral) (AS pir in), ","[['What is aspirin?'], ['Aspirin is a salicylate (sa-LIS-il-ate). It works by reducing substances in the body that cause ', ', ', ', and inflammation.']]","[['upset stomach, heartburn;'], ['drowsiness; or'], ['mild headache.'], []]"
Ativan," , (oral) (lor A ze pam), ","[['What is Ativan?'], ['Ativan (', ') belongs to a group of drugs called ', '. It affects chemicals in the brain that may be unbalanced in people with anxiety.']]","[['dizziness, drowsiness;'], ['weakness; or'], ['feeling unsteady.'], []]"
Tenormin," atenolol (a TEN oh lol), ","[['What is atenolol?'], ['Atenolol (Tenormin) is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins).']]","[['dizziness;'], ['feeling tired; or'], ['depressed mood.'], []]"
," atropine, homatropine, and scopolamine (Ophthalmic route)","[['Commonly used brand name(s)'], []]","[[], [], [], []]"
Strattera," atomoxetine (AT oh mox e teen), ","[['What is atomoxetine?'], ['Atomoxetine affects chemicals in the brain and nerves that contribute to hyperactivity and impulse control.']]","[['signs of heart problems--chest pain, trouble breathing, feeling like you might pass out;'], ['signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia;'], ['liver problems--stomach pain (upper right side), itching, flu-like symptoms, dark urine, ', ' (yellowing of the skin or eyes);'], ['painful or difficult urination; or']]"
"Azasan, Imuran"," azathioprine (ay za THYE oh preen), ","[['What is azathioprine?'], ['Azathioprine weakens your body\'s immune system, to help keep it from ""rejecting"" a transplanted organ such as a kidney. Organ rejection happens when the immune system treats the new organ as an invader and attacks it.']]","[['nausea, diarrhea, stomach pain;'], ['; or'], ['.'], []]"
"Azasite, Azithromycin 3 Day Dose Pack, Azithromycin 5 Day Dose Pack, Zithromax, Zithromax TRI-PAK, Zithromax Z-Pak, Zmax"," azithromycin (a ZITH roe MYE sin), ","[['What is azithromycin?'], ['Azithromycin is an ', ' that fights bacteria.']]","[['diarrhea;'], ['nausea, vomiting, stomach pain; or'], ['headache.'], []]"
," Azelastine hydrochloride,
, nasal spray, metered","[['Indications and Usage for Azelastine'], ['Azelastine hydrochloride nasal spray is indicated for the relief of the symptoms of seasonal allergic rhinitis in patients 6 years of age and older and perennial allergic rhinitis in patients 6 years of age and older.']]","[[], [], [], []]"
"Constulose, Kristalose, "," lactulose (oral) (LAK too lose), ","[['What is lactulose?'], ['Lactulose is a type of sugar. It is broken down in the large intestine into mild acids that draw water into the colon, which helps soften the stools.']]","[[], [], [], []]"
"LaMICtal, LaMICtal ODT, LaMICtal XR, Subvenite, "," lamotrigine (la MOE tri jeen), ","[['What is lamotrigine?'], ['Lamotrigine is an anti-epileptic medication, also called an anticonvulsant.']]","[[], [], [], []]"
"Lamictal, Lamictal ODT, Lamictal XR"," , (la MOE tri jeen), ","[['What is Lamictal?'], ['Lamictal (', ') is an anti-epileptic medication, also called an anticonvulsant.']]","[[], [], [], []]"
"Trandate, Normodyne"," labetalol (oral/injection) (la BAY ta lol), ","[['What is labetalol?'], ['Labetalol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins).']]","[['dizziness, drowsiness, tiredness;'], [', ', ';'], ['sudden warmth, skin redness, sweating;'], ['; or']]"
"FIRST Lansoprazole, Prevacid"," lansoprazole (lan SOE pra zol), ","[['What is lansoprazole?'], [' is a proton pump inhibitor. Lansoprazole decreases the amount of acid produced in the stomach.']]","[['nausea, stomach pain;'], ['diarrhea, ', '; or'], ['.'], []]"
"Lasix, Diaqua-2, Lo-Aqua"," , (fur OH se mide), ","[['What is Lasix?'], ['Lasix (furosemide) is a loop diuretic (water pill) that prevents your body from absorbing too much salt. This allows the salt to instead be passed in your urine.']]","[['diarrhea, constipation;'], ['numbness or tingling;'], ['headache, dizziness; or'], ['blurred vision.']]"
Femara," letrozole (LET roe zol), ","[['What is letrozole?'], ['Letrozole lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body.']]","[[], [], [], []]"
"Lantus, Lantus Solostar Pen"," insulin glargine (IN su lin GLAR gine), ","[['What is Lantus?'], ['Lantus (insulin glargine) is a man-made form of a hormone (insulin) that is produced in the body. Insulin is a hormone that works by lowering levels of glucose (sugar) in the blood. Insulin glargine is a long-acting insulin that starts to work several hours after injection and keeps working evenly for 24 hours.']]","[['Refrigerate and use until expiration date; or'], ['Store at room temperature and use within 28 days.'], [], []]"
," Prostaglandin Analogs,
, OP109,
, C,H,O,
, 130209-82-4,
, Xalatan","[['Introduction'], ['Ocular hypotensive agent; a synthetic analog of prostaglandin F', ' (PGF', ').', ' ', ' ', ' ', ' ']]","[[], [], [], []]"
Arava," leflunomide (le FLOO noe mide), ","[['What is leflunomide?'], ['Leflunomide affects the immune system and reduces swelling and inflammation in the body.']]","[['nausea, diarrhea, stomach pain;'], [';'], ['abnormal ', ';'], ['thinning hair;']]"
Latuda," , (loo RAS i done), ","[['What is Latuda?'], ['Latuda ', ' is an ', '. It works by changing the effects of chemicals in the brain.']]","[['drowsiness;'], [';'], ['tremors, muscle stiffness, slow muscle movement;'], ['feeling restless or being unable to sit still;']]"
Levaquin," , (oral) (LEE voe FLOX a sin), ","[['What is Levaquin?'], ['Levaquin (', ') is a fluoroquinolone (flor-o-KWIN-o-lone) antibiotic that fights bacteria in the body.']]","[['nausea, ', ', diarrhea;'], ['headache, dizziness; or'], ['trouble sleeping.'], []]"
Lexapro," , (EE sye TAL o pram), ","[['What is Lexapro?'], ['Lexapro ', ' is an ', ' in a group of drugs called ', '. Escitalopram affects chemicals in the brain that may be unbalanced in people with depression or anxiety.']]","[['dizziness, drowsiness, weakness;'], ['sweating, feeling shaky or anxious;'], ['sleep problems (insomnia);'], ['dry mouth, loss of appetite;']]"
"Xyzal, LEVRIX, XYZALL"," levocetirizine (LEE voe se TIR a zeen), ","[['What is levocetirizine?'], ['Levocetirizine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms such as a ', ' or ', '.']]","[['; or'], ['.'], [], []]"
"Keppra, Keppra XR, Roweepra, Spritam, Roweepra XR"," levetiracetam (LEE ve tye RA se tam), ","[['What is levetiracetam?'], ['Levetiracetam is used to treat partial onset ', ' in adults and children who are at least 1 month old. The Spritam brand of  levetiracetam is not for use in children younger than 4 years old or children who weigh less than 44 pounds.']]","[['dizziness, drowsiness, tiredness;'], ['weakness;'], ['feeling aggressive or irritable;'], ['loss of appetite;']]"
"Levoxyl, Synthroid, Tirosint, Unithroid"," levothyroxine (LEE voe thye ROX een), ","[['What is levothyroxine?'], [' is a ', "" that replaces a hormone normally produced by your thyroid gland to regulate the body's energy and metabolism.""]]","[['muscle weakness;'], ['headache, leg cramps;'], ['nervousness, trouble sleeping;'], ['diarrhea; or']]"
Levaquin," levofloxacin (oral) (LEE voe FLOX a sin), ","[['What is levofloxacin?'], ['Levofloxacin is a fluoroquinolone (flor-o-KWIN-o-lone) ', ' that fights bacteria in the body. Levofloxacin is used to treat different types of bacterial infections. Levofloxacin is also used to treat people who have been exposed to anthrax or certain types of ', '.']]","[['nausea, ', ', diarrhea;'], ['headache, dizziness; or'], ['trouble sleeping.'], []]"
,lee-voe-DOE-pa,"[['Uses for levodopa'], [' ', ' by Drugs.com.  Last updated on Dec 3, 2019. ']]","[[], [], [], []]"
,lee-voe-nor-JES-trel,"[['Commonly used brand name(s)'], []]","[[], [], [], []]"
"Levemir, Levemir FlexPen"," , (IN su lin DE te mir), ","[['What is Levemir?'], ['Levemir (insulin detemir) is a man-made form of insulin, a hormone that is produced in the body. Insulin works by lowering levels of glucose (sugar) in the blood. Insulin detemir is a long-acting insulin that starts to work several hours after injection and keeps working evenly for up to 24 hours.']]","[['Refrigerate and use until expiration date; or'], ['Store at room temperature and use within 42 days.'], [], []]"
," Oxazolidinones,
, AM900,
, C,H,FN,O,
, 165800-03-3,
, Zyvox","[['Introduction'], ['Antibacterial; oxazolidinone.', ' ', ' ', ' ', ' ']]","[[], [], [], []]"
Linzess," , (LIN a KLOE tide), ","[['What is Linzess?'], ['Linzess (linaclotide) works by increasing the secretion of chloride and water in the intestines, which can soften stools and stimulate bowel movements.']]","[[], [], [], []]"
"Lithobid, Eskalith, Lithonate, Lithotabs, Eskalith-CR"," lithium (LITH ee um), ","[['What is lithium?'], [' affects the flow of sodium through nerve and muscle cells in the body. Sodium affects excitation or mania.']]","[[';'], [';'], [';'], [';']]"
Lipitor," , (a TOR va sta tin), ","[['What is Lipitor?'], ['Lipitor (', ') belongs to a group of drugs called HMG CoA reductase inhibitors, or ""statins.""']]","[['pain or burning when you urinate;'], ['upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, yellowing of the skin or eyes (signs of liver problems); or'], ['little or no urinating, swelling in your feet or ankles, feeling tired or short of breath (signs of kidney problems).'], []]"
Lomotil," , (A troe peen and DYE fen OX i late), ","[['What is  Lomotil?'], [' affects the body in many different ways, such as reducing spasms in the bladder, stomach, and intestines.']]","[['drowsiness, ', ', feeling restless;'], [';'], [' in your hands or feet;'], [', not feeling well;']]"
"Prinivil, Qbrelis, Zestril"," lisinopril (lyse IN oh pril), ","[['What is lisinopril?'], ['Lisinopril is an ', '. ACE stands for angiotensin converting enzyme.']]","[['headache, dizziness;'], ['cough; or'], ['chest pain.'], []]"
"Cytomel, Triostat"," liothyronine (LYE oh THYE roe neen), ","[['What is liothyronine?'], [""Liothyronine is a man-made form of a hormone that is normally produced by your thyroid gland to regulate the body's energy and metabolism. Liothyronine is given when the thyroid does not produce enough of this hormone on its own.""]]","[[';'], [';'], ['; or'], ['.']]"
," Lidocaine hydrochloride,
, injection","[['Lidocaine Description'], ['For Infiltration and Nerve Block']]","[[], [], [], []]"
Cozaar," losartan (loe SAR tan), ","[['What is losartan?'], ['Losartan (Cozaar) belongs to a group of drugs called angiotensin II receptor antagonists. It keeps blood vessels from narrowing, which lowers blood pressure and improves blood flow.']]","[['a diuretic or ""water pill"";'], ['other blood pressure medications;'], ['lithium;'], ['celecoxib; or']]"
"Diamode, Imodium A-D, Imodium A-D EZ Chews, Imodium A-D New Formula, "," loperamide (loe PER a mide), ","[['What is loperamide?'], ['Loperamide is used to treat ', '.']]","[[';'], ['dizziness, drowsiness;'], ['; or'], ['stomach cramps.']]"
," , (Oral route)","[['Commonly used brand name(s)'], [' ', ' by Drugs.com.  Last updated on Oct 10, 2019. ']]","[[], [], [], []]"
"Altoprev, Mevacor, Altocor"," lovastatin (LOE va sta tin), ","[['What is lovastatin?'], ['Lovastatin is used together with diet to lower blood levels of ""bad"" cholesterol (low-density lipoprotein, or LDL), to increase levels of ""good"" cholesterol (high-density lipoprotein, or HDL), and to lower triglycerides (a type of fat in the blood).']]","[['kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or'], ['liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, ', ' (yellowing of the skin or eyes).'], [], []]"
Ativan," lorazepam (oral) (lor A ze pam), ","[['What is lorazepam?'], [' belongs to a group of drugs called ', '. It affects chemicals in the brain that may be unbalanced in people with anxiety.']]","[['dizziness, drowsiness;'], ['weakness; or'], ['feeling unsteady.'], []]"
"Alavert, Claritin, Claritin Reditab, Clear-Atadine, Dimetapp ND, ohm Allergy Relief, QlearQuil All Day & Night, Tavist ND, Wal-itin"," loratadine (lor AT a deen), ","[['What is loratadine?'], ['Loratadine is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.']]","[['headache;'], ['feeling tired or drowsy;'], ['stomach pain, vomiting;'], ['dry mouth; or']]"
"Hycet, Lorcet, Lortab 10/325, Lortab 5/325, Lortab 7.5/325, Lortab Elixir, Norco, Verdrocet, Vicodin, Xodol, Zamicet"," , (a SEET a MIN oh fen and hye droe KOE done), ","[['What is Lortab?'], ['Lortab contains a combination of acetaminophen and hydrocodone. Hydrocodone is an opioid pain medication. An opioid is sometimes called a narcotic. Acetaminophen, also called Tylenol, is a less potent pain reliever that increases the effects of hydrocodone.']]","[['other narcotic medications - opioid pain medicine or prescription cough medicine;'], ['drugs that make you sleepy or slow your breathing - a sleeping pill, muscle relaxer, sedative, tranquilizer, or antipsychotic medicine; or'], [""drugs that affect serotonin levels in your body - medicine for depression, Parkinson's disease, migraine headaches, serious infections, or prevention of nausea and vomiting.""], []]"
Lunesta," , (e ZOP i klone), ","[['What is Lunesta?'], ['Lunesta (', ') is a sedative, also called a hypnotic. It affects chemicals in your brain that may be unbalanced in people with sleep problems (insomnia).']]","[[], [], [], []]"
"Eligard, Lupron Depot, Lupron Depot-Ped, Lupron, Lupron Depot-Gyn, Viadur"," leuprolide (LOO proe lide), ","[['What is Lupron?'], ['Lupron ', "" overstimulates the body's own production of certain hormones, which causes that production to shut down temporarily. Leuprolide reduces the amount of testosterone in men or estrogen in women.""]]","[['hot flashes, sweating, acne, rash, itching, scaly skin;'], ['mood changes;'], ['headache, general pain;'], ['vaginal swelling, itching, or discharge;']]"
Lovenox," enoxaparin (ee NOX a PAR rin), ","[['What is Lovenox?'], ['Lovenox ', ' is an anticoagulant that helps prevent the formation of ', '.']]","[['a bleeding disorder such as ', ';'], ['kidney or ', ';'], ['uncontrolled ', ';'], ['eye problems caused by diabetes;']]"
Luvox," , (floo VOX a meen), ","[['What is  Luvox?'], ['Luvox is a selective serotonin reuptake inhibitor (SSRI) antidepressant. This medicine affects chemicals in the brain that may be unbalanced in people with obsessive-compulsive symptoms.']]","[[', ', ', ', ', ', ', ', ', ', ' (also called L-tryptophan);'], ['a diuretic or ""water pill"";'], ['a blood thinner--', ', ', ', ', ';'], ['medicine to treat anxiety, mood disorders, thought disorders, or mental illness--such as ', ', ', ', ', ', or ', ';']]"
," Kanamycin a sulfate,
, injection, solution","[['DESCRIPTION:'], ['To reduce the development of drug-resistant bacteria and maintain the effectiveness of Kanamycin Injection, USP and other antibacterial drugs, Kanamycin Injection, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria.']]","[[], [], [], []]"
Kadcyla," ado-trastuzumab emtansine (AY doe tras TOOZ ue mab em TAN seen), ","[['What is Kadcyla?'], ['Kadcyla (', ') is a cancer medicine that interferes with the growth and spread of cancer cells in the body.']]","[[], [], [], []]"
"Lyrica, Lyrica CR"," pregabalin (pre GAB a lin), ","[['What is Lyrica?'], ['Lyrica (', ') was originally FDA approved as an anti-epileptic drug, also called an anticonvulsant. It works by slowing down impulses in the brain that cause ', '. Pregabalin also affects chemicals in the brain that send pain signals across the nervous system.']]","[[', drowsiness;'], ['swelling in your hands and feet;'], ['trouble concentrating;'], ['increased appetite;']]"
Kadian," , (MOR feen), ","[['What is Kadian?'], ['Kadian (', ') is an opioid medication. An opioid is sometimes called a narcotic.']]","[['slow heart rate, sighing, weak or shallow breathing, breathing that stops during sleep;'], ['chest pain, fast or pounding heartbeats;'], ['extreme drowsiness, feeling like you might pass out; or'], [' - ', ', ', ', loss of appetite, dizziness, worsening tiredness or weakness.']]"
Kaletra," lopinavir and ritonavir (loe PIN a vir and ri TOE na veer), ","[['What is Kaletra?'], ['Kaletra contains a combination of lopinavir and ritonavir. Lopinavir and ritonavir are antiviral medications that prevent the human immunodeficiency virus (HIV) from multiplying in your body.']]","[['signs of a new infection--fever, night sweats, swollen glands, mouth sores, diarrhea, stomach pain, weight loss;'], ['chest pain (especially when you breathe), dry cough, wheezing, feeling short of breath;'], ['cold sores, sores on your genital or anal area;'], ['rapid heart rate, feeling anxious or irritable, weakness or prickly feeling, problems with balance or eye movement;']]"
," , by Drugs.com.  Last updated on Apr 22, 2019. ","[['Clinical Overview'], ['Kaolin has traditionally been used internally to control diarrhea. Kaolin has also been used topically as an emollient and drying agent. Specifically, it has been used to dry oozing and weeping poison ivy, poison oak, and poison sumac lesions. It has also been used as a protectant for the temporary relief of anorectal itching and diaper rash.']]","[[], [], [], []]"
"Bismarex, Bismatrol, Bismatrol Maximum Strength, Kaopectate, Kola-Pectin DS, Peptic Relief, Pepto-Bismol, Percy Medicine, Pink Bismuth, Soothe Caplets"," , (BIZ muth sub sa LISS i late), ","[['What is  Kaopectate?'], ['Kaopectate is used to treat ', ', ', ', ', ', ', ', gas, or ', '.']]","[['; or'], ['dark colored stools.'], [], []]"
"Catapres, Duraclon, Kapvay"," , (oral) (KLOE ni deen), ","[['What is Kapvay?'], ['Kapvay (clonidine) is a prescription medicine supplied as an extended-release tablet and is used to treat ', ' (ADHD). Your doctor may prescribe Kapvay alone or together with certain other ADHD medicines. Clonidine is not a central nervous system (CNS) stimulant.']]","[['other heart or blood pressure medications;'], ['an antidepressant; or'], ['any other medicine that contains clonidine.'], []]"
