,author,date,like_facebook,summary,tags,title
10,Azaan Javaid," 24 April, 2020 4:15 pm IST",5558,Doctors had declared a man in a Pampore village ‘weak positive’ for Covid-19 after his samples were tested using rapid antibody testing kits. ,"Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,antibody test,Asymptomatic Covid cases,COVID-19,Jammu and Kashmir,About,Contact,Careers,Terms of Use,Privacy Policy",How use of Chinese rapid testing Covid-19 kits created panic in a Kashmir village
11,PTI," 25 April, 2020 11:02 am IST",10722,"Of the 775 deaths, Maharashtra leads with 301 fatalities, followed by Gujarat at 127, Madhya Pradesh at 92, Delhi at 53, and Andhra Pradesh at 29.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy","Covid-19 toll rises to 775, total cases at 24,506 in India, says health ministry"
12,PTI," 24 April, 2020 3:44 pm IST",660,"A total of 126 people was arrested in connection with violence against the health workers and police in minority-dominated Padarayanapura ward on 19 April in Karnataka.
","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,Karnataka,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy",5 detainees who attacked healthcare workers test positive for Covid-19 in Karnataka
13,PTI," 24 April, 2020 3:29 pm IST",4377,The High Court bench directed Delhi govt to ensure that the helpline number proposed to be set up for assisting senior citizens is also made available for pregnant women.,"Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Delhi government,pregnant women,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy",Delhi HC asks Centre & Delhi govt to ensure pregnant women face no barriers during lockdown
14,Ananya Bhardwaj," 24 April, 2020 2:20 pm IST",7104,CBI registered the case over smuggling of endangered species after a request from the Wildlife Crime Control Bureau.,"Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,CBI,Lakshadweep,Wildlife Protection Act,About,Contact,Careers,Terms of Use,Privacy Policy",CBI to probe ‘smuggling’ of sea cucumbers — in first wildlife protection case in years
15,PTI," 24 April, 2020 3:52 pm IST",10078,"Sri Lanka has placed critical economic measures to save resources hit badly by the Covid-19 pandemic, which has infected 373 persons in the country.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,PTI wire,RBI,Sri Lanka,About,Contact,Careers,Terms of Use,Privacy Policy",Sri Lanka to seek $400 million financial facility from RBI to meet short term financial needs
16,Rohini Swamy," 24 April, 2020 1:58 pm IST",1282,"In a span of two weeks starting 25 March, a govt child helpline has received 37 calls about child marriage and 32 about child abuse.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,child abuse,Child marriage,Karnataka,Nationwide lockdown,About,Contact,Careers,Terms of Use,Privacy Policy","Amid Covid crisis, Karnataka sees ‘abnormal rise’ in child marriage, abuse complaints"
17,Apoorva Mandhani," 24 April, 2020 1:07 pm IST",14170,Republic TV editor-in-chief Arnab Goswami had moved the Supreme Court challenging the FIRs filed against him across India accusing him of making inflammatory statements and defaming Sonia Gandhi.,"Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Arnab Goswami,Supreme Court,About,Contact,Careers,Terms of Use,Privacy Policy","SC gives Arnab Goswami three weeks’ protection from arrest, stays all FIRs except one"
18,Samyak Pandey," 24 April, 2020 1:00 pm IST",20414,Rabi season contributes nearly 50% of the food grain production in India. Procurement target of 40.7 million tonnes has been set for this season.,"Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Economy,India,COVID-19,Haryana,Madhya Pradesh,Nationwide lockdown,Punjab,Rabi crops,Uttar Pradesh,wheat,About,Contact,Careers,Terms of Use,Privacy Policy","Rabi procurement picks up amid lockdown, 4 states buy wheat despite labour shortage"
19,PTI," 24 April, 2020 12:55 pm IST",15391,"In an interaction with gram panchayat members, Modi said the coronavirus pandemic has thrown up new challenges which the country never faced before.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,PM Modi,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy","Self-reliance biggest lesson taught by Covid-19, says PM Modi"
20,Sravasti Dasgupta," 24 April, 2020 7:56 pm IST",10874,"The grocer’s extended family occupies more than half the houses in gali number 26, and of the 35 cases detected here, almost 90 per cent are related to him.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Health,India,Coronavirus,COVID-19,Delhi,Hotspots,lockdown,About,Contact,Careers,Terms of Use,Privacy Policy","How one grocer infected 35 people, made Tughlaqabad Extension Delhi’s 3rd-biggest hotspot"
21,PTI," 24 April, 2020 7:33 pm IST",7977,"The health ministry said that the number of active Covid-19 cases stood at 17,915 as 4,813 people were cured and discharged, and one patient migrated.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,Health Ministry,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy","Covid-19 cases in India rise to 23,452, death toll at 723: Health Ministry"
22,PTI," 24 April, 2020 6:13 pm IST",10663,Home Ministry in a statement said that violations of lockdown measures reported in some parts of the country pose a serious health hazard to public.,"Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,Ministry of Home Affairs,PTI wire,About,Contact,Careers,Terms of Use,Privacy Policy","Covid-19 situation especially serious in Ahmedabad, Surat, Hyderabad, Chennai, says MHA"
23,Samyak Pandey," 24 April, 2020 6:58 pm IST",12080,"Apart from Alphonso mango, the lockdown in Konkan region has brought the cashew harvesting season to a standstill due to lack of labour.","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Economy,India,Agricultural distress,Coronavirus,COVID-19,Nationwide lockdown,About,Contact,Careers,Terms of Use,Privacy Policy","World awaits Alphonsos, but the mangoes are stuck in Konkan lockdown"
24,Moushumi Das Gupta," 24 April, 2020 5:50 pm IST",10179,"PM Narendra Modi told the sarpanches that coronavirus has thrown up new challenges and it’s important that villages become self-reliant.
","Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,Politics,Pre-Truth,Governance,Diplomacy,Economy,Ilanomics,Defence,India,Features,Last Laughs,Books,Brandma,Reel Take,Opinion,Talk Point,50-Word Edit,National Interest,Events,Off The Cuff,Democracy Wall,Video,More,Education,Global Pulse,Health,HoaXposed,ICYMI,In Pictures,Judiciary,Plugged In,PrimeTime,Sci-Tech,Science,Tech,Sport,ThePrint Essential,India,Coronavirus,Gram Panchayats,PM Narendra Modi,Social distancing,About,Contact,Careers,Terms of Use,Privacy Policy",‘Had you not been PM’ — praise and a poem for Modi during video chat with sarpanches
